id,author,title,periodical,year,number,month,date,pages,note,place
bolotin_detskay_1929,"Болотин, С.; Смирнова, В.","Детская книга в реконструктивный период","Литературная газета",1929,NA,12,16,NA,NA,отечественная
kalm_kudanos_1929,"Кальм, Д.","«Куда нос его ведет?»  Против халтуры в детской литературе. О стихах К. Чуковского и С. Маршака.","Литературная газета",1929,NA,12,16,NA,NA,отечественная
kalm_osovrem_1929,"Кальм, Д.","О современной детской книге","Литературная газета",1929,NA,12,23,NA,NA,отечественная
komsomo_1929,NA,"Комсомол и литература","Литературная газета",1929,NA,6,25,NA,NA,отечественная
bianki_pismode_1929,"Бианки, В.; Каверин, В.; Тынянов, Ю.; и др.","Письмо детской секции Ленинградского отдела ВССП [Возражения Д. Кальм]","Литературная газета",1929,NA,12,30,NA,NA,отечественная
gershenzon_pismavr_1929,"Гершензон, М.; Кальм, Д.","Письма в редакцию. [В связи с выступлением М. Гершензона на докладе о детской литературе]","Литературная газета",1929,NA,12,30,NA,NA,отечественная
kalm_faktyia_1929,"Кальм, Д.","Факты и автографы. [Об отсутствии руководства со стороны ГИЗа в области издания детских книг]","Литературная газета",1929,NA,12,30,NA,NA,отечественная
fedin_protivl_1929,"Федин, К.; Казаков, М.; Смирнова, В.; и др.","Против лжи и клеветы. [Возражение Д. Кальм.]","Литературная газета",1929,NA,12,30,NA,NA,отечественная
vrednay_1929,NA,"Вредная книжка","Литературная газета",1929,NA,12,30,NA,NA,отечественная
fedorchenko_sredstv_1929,"Федорченко, С. ; Остроумов, Л.","Средство воспитания строителей социализма","Литературная газета",1929,NA,12,30,NA,NA,отечественная
flerina_srebenk_1929,"Флерина, Е.","С ребёнком надо говорить всерьез","Литературная газета",1929,NA,12,30,NA,NA,отечественная
chukovskiy_ksporam_1929,"Чуковский, К. И.","К спорам о детской литературе","Литературная газета",1929,NA,12,30,NA,NA,отечественная
prushitskaya_vospita_1929,"Прушицкая, Р.","Воспитаем ленинцев","Литературная газета",1929,NA,12,30,NA,NA,отечественная
pokrovskaya_novyepu_1929,"Покровская, А. К.","Новые пути детской книги","Литературная газета",1929,NA,7,8,NA,NA,отечественная
khanin_sozhzhe_1930,"Ханин, Д.","Сожжение Маяковского","Литературная газета",1930,NA,7,10,NA,NA,отечественная
kalm_psevdod_1930,"Кальм, Д.","Псевдо-диспут о детской книге: (На докладе т. Разина в Доме печати)","Литературная газета",1930,NA,1,13,NA,NA,отечественная
vrednay_1930,NA,"Вредная книжка","Литературная газета",1930,NA,1,13,NA,NA,отечественная
kalm_odoshko_1930,"Кальм, Д.","О дошкольной книге. (На докладе тов. Е.А.Флериной в ЦД Рабис)","Литературная газета",1930,NA,2,17,NA,NA,отечественная
edinoei_1930,NA,"Единое издательство детской и юношеской литературы [Молодая гвардия]","Литературная газета",1930,NA,8,20,NA,NA,отечественная
drugov_vnimani_1930,"Другов, Б.","Внимание литературе в школе","Литературная газета",1930,NA,8,20,NA,NA,отечественная
kay_detibud_1930,Кэй,"Дети будут знать Маяковского","Литературная газета",1930,NA,7,25,NA,NA,отечественная
svirskiy_kmoimch_1930,"Свирский, А.","К моим читателям. [О том, как создавалась история моей жизни.]","Литературная газета",1930,NA,5,26,NA,NA,отечественная
d.k._nadispu_1930,"{Д. К.}","На диспуте","Литературная газета",1930,NA,1,27,NA,NA,отечественная
otkryty_1930,NA,"Открытые письма М. Горькому [По вопросам детской литературы]","Литературная газета",1930,NA,1,27,NA,NA,отечественная
